
movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
68,0,0,0,0,-0.2159925,0.1308982,9.68527,0.1180956,-0.01808876,0.01463351,1.5625E-06,1.0625E-06,1.70625E-05,0.7743156,1.277433,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.21499,0.1492212,9.678082,0.08432049,0.03660678,-0.03609297,1.0625E-06,1.5625E-06,1.65625E-05,0.883343,1.272414,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2219818,0.1315391,9.684358,0.07154642,-0.00202455,0.006326245,1.5625E-06,1.5625E-06,1.61875E-05,0.7781799,1.312965,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2255584,0.1483866,9.70768,0.03317918,0.03347784,-0.0270876,1.5625E-06,1.75625E-05,1.64375E-05,0.8757256,1.330875,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2186249,0.136962,9.559468,0.008471028,-0.01706548,-0.01934875,6.25E-08,1.5625E-06,6.9375E-06,0.8208413,1.309991,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2333311,0.1442582,9.702222,-0.01240993,-0.003327972,0.003485519,1.0625E-06,6.25E-08,1.60625E-05,0.8518435,1.377503,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2178809,0.1277846,9.666148,-0.0268161,0.007281787,-0.04446355,-1.44375E-05,1.0625E-06,7.1875E-06,0.7573947,1.291151,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.3186626,0.1212769,9.69793,0.1819455,0.02369381,-0.0442065,-1.49375E-05,1.5625E-06,7.6875E-06,0.7164719,1.881848,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.196716,0.1249196,9.700805,-0.0811856,0.01150047,-0.03592114,1.5625E-06,1.5625E-06,1.73125E-05,0.7377709,1.161607,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2346954,0.1542375,9.688213,-0.001229072,0.008840676,-0.04711235,1.5625E-06,1.5625E-06,1.64375E-05,0.9120785,1.387534,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2369922,0.1453899,9.691882,0.05415838,0.01970684,-0.03879866,-1.59375E-05,6.25E-08,1.69375E-05,0.8594413,1.400597,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.3376077,0.1604829,9.682689,-0.01097006,-0.02935592,-0.07551878,-1.44375E-05,1.5625E-06,7.8125E-06,0.9495451,1.996657,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2134256,0.1191173,9.698077,0.05661346,-0.006667027,-0.002862773,-1.44375E-05,1.5625E-06,1.65625E-05,0.7037039,1.26061,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2294594,0.1569885,9.668736,0.07717227,0.02839019,0.0322446,1.5625E-06,1.0625E-06,1.63125E-05,0.9302132,1.359315,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.3270595,0.1321175,9.707526,0.009235192,0.06222257,-0.0352195,6.25E-08,6.25E-08,1.75625E-05,0.7797361,1.929463,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.1976766,0.157426,9.684844,-0.05378419,-0.02467,-0.0013721,5.625E-07,1.0625E-06,1.73125E-05,0.9312543,1.169143,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.1903003,0.1228376,9.672576,0.003623621,0.02022917,0.014279,6.25E-08,6.25E-08,6.9375E-06,0.7275931,1.127013,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2064785,0.137338,9.68539,-0.06649221,0.06876748,0.01595789,-1.44375E-05,1.60625E-05,7.6875E-06,0.8123951,1.221155,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.3331332,0.1314425,9.691477,-0.04105854,0.01783576,-0.07387393,6.25E-08,5.625E-07,7.3125E-06,0.7770373,1.968519,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2314849,0.1413139,9.706829,0.05680461,-0.05541712,-0.07563545,1.0625E-06,1.0625E-06,1.60625E-05,0.8340638,1.365965,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2389336,0.1722029,9.702814,-0.02736895,0.04843923,0.03656592,1.0625E-06,1.5625E-06,6.8125E-06,1.016763,1.410412,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2071798,0.1600009,9.698051,-0.08773735,0.04166,-0.1460542,5.625E-07,1.0625E-06,1.64375E-05,0.9451941,1.223659,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.3312399,0.1339627,9.710604,0.02379843,-0.004841518,-0.01470881,1.0625E-06,6.25E-08,1.68125E-05,0.7903744,1.953482,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.3254428,0.1328306,9.585081,0.06932058,0.02427122,-0.003655397,5.625E-07,5.625E-07,1.73125E-05,0.7939577,1.944433,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2218684,0.1346948,9.70647,0.01987444,-0.06137347,-0.08996951,6.25E-08,5.625E-07,1.74375E-05,0.7950315,1.309301,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2461111,0.1638654,9.691539,0.03728539,0.1015215,-0.004997346,5.625E-07,1.0625E-06,7.4375E-06,0.9686699,1.454473,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2095912,0.1395961,9.668607,-0.05347237,-0.02091831,0.009330514,1.0625E-06,1.5625E-06,1.60625E-05,0.8271834,1.241706,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2096105,0.1527693,9.682483,-0.0589524,0.06913476,0.04115533,6.25E-08,5.625E-07,7.8125E-06,0.9039325,1.240016,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2360343,0.1678516,9.682914,0.03074651,0.112387,0.009328482,1.0625E-06,1.5625E-06,1.64375E-05,0.9931125,1.396177,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2078029,0.1581718,9.691684,0.09230312,0.04068111,0.01463807,-1.44375E-05,1.60625E-05,1.66875E-05,0.9350052,1.228148,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2193597,0.1766058,9.683871,-0.02879702,0.02963617,-0.002116052,6.25E-08,6.25E-08,7.4375E-06,1.044793,1.29743,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2414648,0.1532063,9.5609,-0.09482007,0.03342109,-0.07030118,6.25E-08,1.5625E-06,1.61875E-05,0.9180438,1.446537,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2289757,0.03608282,9.68545,0.1094633,0.02674322,-0.01523329,6.25E-08,1.70625E-05,1.66875E-05,0.2134525,1.35428,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.1935099,0.147535,9.574032,0.03460331,0.01131316,-0.1324669,1.0625E-06,1.60625E-05,1.75625E-05,0.8828532,1.157764,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2167425,0.1286675,9.562952,-0.0541629,-0.03611476,0.02955187,1.5625E-06,1.70625E-05,1.70625E-05,0.770856,1.298258,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.1936129,0.1130485,9.703684,-0.08731441,0.02608415,0.0002305659,1.0625E-06,1.65625E-05,7.6875E-06,0.667469,1.142966,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2491274,0.166856,9.691061,-0.1078276,-0.02827829,0.0932899,6.25E-08,1.60625E-05,1.64375E-05,0.9863937,1.472356,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2518616,0.137835,9.694333,0.1000587,-0.07182678,-0.0261645,1.5625E-06,6.25E-08,7.6875E-06,0.8145821,1.488076,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.2470278,0.03488975,9.66526,-0.02699832,-0.004229925,0.00870689,6.25E-08,1.5625E-06,1.60625E-05,0.206826,1.464056,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.3327223,0.1359798,9.667531,0.09721743,0.01107953,-0.06061626,-1.44375E-05,1.5625E-06,7.8125E-06,0.8058475,1.970946,0,1,1,0,0,0,0,0,0,0,0,0,0,0
