Ground Station GUI Log Data
Thursday, March 23, 2017 3:33:36 PM:
movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
68,0,0,0,0,-0.02496338,0.0512085,0.9779663,0,0.06097561,0,6.25E-08,1.75625E-05,6.3125E-06,-3.109728,1.287253,271.9169,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03369141,0.04980469,0.9807739,-0.06097561,-0.06097561,-0.06097561,1.0625E-06,1.75625E-05,6.5625E-06,-3.057465,1.317052,275.5637,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02386475,0.05462646,0.9776001,-0.06097561,0,0,1.5625E-06,1.65625E-05,6.4375E-06,-2.945358,1.755402,276.1222,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02886963,0.05310059,0.977417,0,0,-0.06097561,6.25E-08,1.70625E-05,6.9375E-06,-2.993435,1.839482,272.1415,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02459717,0.05133057,0.9782104,0,0,0,1.5625E-06,1.70625E-05,4.6875E-06,-2.931177,1.416115,273.6781,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.0246582,0.04949951,0.9797974,-0.1829268,0,0,6.25E-08,1.70625E-05,6.1875E-06,-3.231609,2.060438,273.052,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03723145,0.05267334,0.9900513,-0.06097561,0.06097561,0.06097561,6.25E-08,1.75625E-05,7.0625E-06,-2.395367,1.411147,273.8019,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02923584,0.0513916,0.9789429,-0.1219512,0.06097561,0,1.5625E-06,1.60625E-05,6.9375E-06,-3.12637,2.012329,272.0914,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03851318,0.04998779,0.9769897,-0.06097561,0.1219512,-0.06097561,1.0625E-06,1.60625E-05,5.8125E-06,-3.005394,1.450177,274.8171,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02880859,0.04296875,0.9770508,0,0,-0.06097561,6.25E-08,1.75625E-05,6.4375E-06,-2.971152,2.028501,272.5515,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03399658,0.0489502,0.9797974,-0.1219512,0.1219512,-0.06097561,1.0625E-06,1.60625E-05,6.8125E-06,-2.584756,1.603989,273.9913,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03631592,0.04882813,0.9813843,-0.06097561,0,-0.06097561,1.0625E-06,1.70625E-05,6.9375E-06,-2.993066,1.781131,274.6582,1,1,0,0,0,0,0,0,0,0,0,0,0
