
movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
68,0,0,0,0,-0.0269165,0.02893066,0.9822998,-0.06097561,-0.06097561,-0.06097561,6.25E-08,1.70625E-05,7.5625E-06,-2.980187,2.176419,273.9907,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02484131,0.04998779,0.9795532,0,0.06097561,0,6.25E-08,1.70625E-05,6.5625E-06,-3.026329,1.40625,272.7485,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02563477,0.0513916,0.9783936,-0.06097561,0.06097561,-0.06097561,1.5625E-06,1.65625E-05,6.3125E-06,-1.893372,1.394587,274.1365,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02416992,0.04907227,0.9785156,0,0.1219512,0,1.5625E-06,1.60625E-05,6.9375E-06,-2.871459,1.917776,275.4123,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03570557,0.04730225,0.9797363,-0.06097561,0.06097561,0,1.0625E-06,1.65625E-05,5.5625E-06,-2.902532,1.426201,274.748,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02581787,0.05328369,0.9777222,0,0.1219512,-0.06097561,1.5625E-06,1.70625E-05,6.0625E-06,-2.89208,2.002853,274.6248,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03411865,0.0512085,0.979126,-0.06097561,0.06097561,0,1.0625E-06,1.70625E-05,6.3125E-06,-2.434043,1.38338,273.3534,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03411865,0.05010986,0.9816895,-0.06097561,0.1219512,-0.06097561,1.5625E-06,1.75625E-05,6.4375E-06,-2.808641,1.845896,274.5018,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.0378418,0.05297852,0.9810181,-0.06097561,0.1219512,0,5.625E-07,1.75625E-05,4.9375E-06,-3.007271,1.879916,272.6616,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03448486,0.04919434,0.9821167,0,0.06097561,0.06097561,1.5625E-06,1.60625E-05,5.0625E-06,-2.81776,1.495879,273.8856,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03631592,0.04986572,0.9820557,-0.06097561,0,0,6.25E-08,1.70625E-05,5.8125E-06,-2.91,1.830071,273.3995,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02368164,0.05267334,0.9765625,-0.1219512,0.1219512,-0.06097561,1.5625E-06,1.5625E-06,5.9375E-06,-2.925634,1.936032,296.5479,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03747559,0.05340576,0.9777222,-0.06097561,0.1219512,0,1.0625E-06,1.60625E-05,5.6875E-06,-2.831342,1.863903,275.3873,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.0378418,0.04998779,0.9782104,-0.06097561,0.1219512,0,1.5625E-06,1.75625E-05,5.0625E-06,-3.128629,1.532671,272.2488,1,1,0,0,0,0,0,0,0,0,0,0,0
