
movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
68,0,0,0,0,-0.03393555,0.04541016,0.9829102,-1.269055,-0.03048781,-1.150915,-1.49375E-05,-1.44375E-05,7.4375E-06,-3.925928,1.971067,121.0807,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03460693,0.0447998,0.9803467,-1.322409,-0.03429878,-1.147104,-1.54375E-05,-3.04375E-05,7.3125E-06,-4.081438,2.278909,126.636,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03582764,0.0456543,0.9794312,-1.36814,-0.04573171,-1.135671,-1.54375E-05,-3.04375E-05,1.65625E-05,-3.984027,1.616971,122.4741,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03594971,0.04296875,0.9775391,-1.291921,-0.02667683,-1.097561,-1.54375E-05,-3.04375E-05,7.8125E-06,-3.958272,2.249904,119.5442,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03894043,0.04589844,0.9825439,-1.394817,-0.007621951,-1.192835,-1.59375E-05,-1.54375E-05,7.0625E-06,-3.756041,1.720811,118.7668,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02368164,0.04528809,0.9828491,-1.310976,-0.05335366,-1.101372,-1.44375E-05,-1.49375E-05,1.65625E-05,-3.934259,2.309593,129.3175,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03393555,0.06292725,1.000061,-1.280488,-0.01905488,-1.185213,-1.49375E-05,-3.04375E-05,6.4375E-06,-4.140265,1.293981,131.9138,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01550293,0.06445313,0.9814453,-1.230945,0.9908537,-1.181402,-1.54375E-05,-1.44375E-05,6.9375E-06,-4.676272,1.325137,123.4851,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03283691,0.04162598,0.9832153,-1.257622,-0.0152439,-1.150915,-1.59375E-05,-3.19375E-05,7.5625E-06,-5.071684,0.9433811,131.9491,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03820801,0.06347656,0.9821167,-1.32622,-0.07240853,-1.150915,-1.54375E-05,-3.14375E-05,7.6875E-06,-3.731223,1.865854,117.8588,1,1,0,0,0,0,0,0,0,0,0,0,0
