
movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
68,0,0,0,0,-0.03277588,0.04400635,0.9829712,-1.318598,-0.03429878,-1.101372,-1.44375E-05,-3.14375E-05,6.8125E-06,-4.827023,2.204604,121.2812,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03533936,0.04632568,0.9815063,-1.25,1.01753,-1.067073,-1.59375E-05,-3.14375E-05,7.9375E-06,-4.130649,1.790531,118.663,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.0368042,0.06469727,0.980957,-1.185213,-0.1028963,-1.196646,-1.44375E-05,-3.19375E-05,1.61875E-05,-3.995958,2.171702,118.4664,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03826904,0.06317139,0.9805908,-1.234756,1.01753,-1.105183,-1.44375E-05,-1.44375E-05,6.5625E-06,-3.965843,1.978477,117.0096,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03717041,0.04620361,0.979248,-1.234756,-0.1105183,-1.143293,-1.59375E-05,-1.54375E-05,7.9375E-06,-4.593249,2.02776,126.0664,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01452637,0.0446167,0.9827881,-1.333841,-0.01905488,-1.116616,-1.59375E-05,-1.49375E-05,6.5625E-06,-4.252982,1.88011,131.187,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03436279,0.04644775,0.9806519,-1.208079,-0.05335366,-1.01753,-1.54375E-05,-3.19375E-05,7.8125E-06,-4.072969,1.392673,120.0104,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03839111,0.04608154,0.9818726,-1.230945,-0.01905488,-1.120427,-1.54375E-05,-1.49375E-05,6.0625E-06,-3.923218,1.351492,125.6408,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03820801,0.06408691,0.9818726,-1.337652,-0.04954268,-1.05564,-1.49375E-05,-1.44375E-05,1.61875E-05,-4.115587,1.141731,128.1674,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01422119,0.04467773,0.9830322,-1.257622,1.028963,-1.196646,-1.54375E-05,-3.19375E-05,1.61875E-05,-4.644087,1.286353,124.6769,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03881836,0.04571533,0.980835,-1.25,-0.06859756,-1.124238,-1.44375E-05,-3.04375E-05,1.68125E-05,-4.144223,1.216523,120.7428,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03881836,0.04443359,0.9790649,-1.322409,-0.06097561,-1.177591,-1.59375E-05,-3.04375E-05,1.75625E-05,-3.835613,1.5867,118.7716,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02587891,0.04437256,0.9816284,-1.276677,-0.003810976,-1.05564,-1.54375E-05,-3.04375E-05,7.6875E-06,-3.794077,2.174933,118.4145,1,1,0,0,0,0,0,0,0,0,0,0,0
