Ground Station GUI Log Data
Wednesday, April 12, 2017 10:33:48 AM:
movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
68,0,0,0,0,-0.04364014,-0.00390625,1.00708,0.1753049,-0.2439024,-0.785061,1.0625E-06,1.70625E-05,5.9375E-06,-0.2222371,2.481246,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.06585693,-0.002563477,0.9835205,0.160061,-0.316311,-0.7507622,1.0625E-06,1.75625E-05,6.4375E-06,-0.1493371,3.830817,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.04278564,-0.001159668,1.00177,0.160061,-0.2172256,-0.7164634,1.0625E-06,1.60625E-05,6.9375E-06,-0.06632666,2.445617,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.06481934,-0.002746582,1.000549,0.1905488,-0.2324695,-0.7545732,1.5625E-06,1.70625E-05,6.4375E-06,-0.1572808,3.706642,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.05151367,-0.001159668,1.006104,0.1905488,-0.1295732,-0.7317073,1.0625E-06,1.70625E-05,6.8125E-06,-0.06604097,2.931049,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.04241943,-0.003112793,1.005188,0.160061,-0.2286585,-0.777439,1.0625E-06,1.75625E-05,6.5625E-06,-0.1774288,2.416465,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.06274414,-0.003234863,0.982666,0.1219512,-0.1753049,-0.785061,6.25E-08,1.5625E-06,6.9375E-06,-0.1886128,3.653409,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.04150391,-0.0002441406,1.002258,0.2743903,-0.2553354,-0.7621951,1.5625E-06,1.70625E-05,7.5625E-06,-0.01395671,2.371286,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.05004883,-0.00402832,1.003967,0.2096037,-0.2019817,-0.7469512,1.0625E-06,1.60625E-05,6.8125E-06,-0.2298925,2.853869,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.0411377,-0.006469727,1.0047,0.2172256,-0.2362805,-0.7888719,1.0625E-06,1.60625E-05,7.9375E-06,-0.368949,2.344633,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.06359863,-0.005310059,0.9823608,0.1295732,-0.2439024,-0.7621951,6.25E-08,1.65625E-05,7.6875E-06,-0.3097039,3.70414,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.06616211,-0.001281738,1.001404,0.04192073,-0.2477134,-0.7621951,1.5625E-06,1.75625E-05,7.5625E-06,-0.0733352,3.779998,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.0526123,-0.001953125,1.007263,0.1486281,-0.2400915,-0.7621951,6.25E-08,1.60625E-05,7.8125E-06,-0.1110988,2.990003,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.04315186,-0.003967285,1.005188,0.1867378,-0.2705793,-0.8079268,6.25E-08,1.70625E-05,6.1875E-06,-0.2261343,2.45813,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.06549072,-0.003601074,0.9822998,0.1371951,-0.1676829,-0.7698171,1.0625E-06,1.65625E-05,6.5625E-06,-0.2100432,3.814286,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.04498291,-0.002990723,1.003662,0.1448171,-0.2172256,-0.7164634,5.625E-07,1.70625E-05,6.0625E-06,-0.1707301,2.566198,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.05029297,-0.002868652,1.004456,0.160061,-0.1333842,-0.7926829,1.5625E-06,1.75625E-05,7.4375E-06,-0.1636322,2.866387,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.04077148,-0.002990723,1.005371,0.160061,-0.1753049,-0.8574695,6.25E-08,1.75625E-05,6.9375E-06,-0.1704398,2.322271,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.06469727,-0.004760742,1.001709,0.2096037,-0.2477134,-0.7317073,1.0625E-06,1.65625E-05,6.4375E-06,-0.272303,3.695381,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.06573486,-0.003967285,0.9829712,0.06478658,-0.2134146,-0.7012195,5.625E-07,1.65625E-05,6.4375E-06,-0.2312453,3.82585,0,1,1,0,0,0,0,0,0,0,0,0,0,0
