Ground Station GUI Log Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday, April 12, 2017 3:14:45 PM:,,,,,,,,,,,,,,,,,,,,,,,,,,,
movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
68,0,0,0,0,-0.01107796,0.01315304,1.050965,-0.07907854,-0.06383488,1.496761,1.56E-06,1.06E-06,6.81E-06,0.7170309,0.6038712,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.02401741,0.02444454,1.041809,-0.05621268,0.05049439,1.370999,1.56E-06,1.56E-06,7.19E-06,1.344115,1.320275,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.0125428,0.02444454,1.039551,0.08479341,0.004762683,1.431975,1.56E-06,5.63E-07,6.81E-06,1.347034,0.6910833,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01083382,0.02395626,1.051941,-0.07907854,-0.04478,1.49295,1.56E-06,1.06E-06,7.19E-06,1.304593,0.5899088,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03567513,0.02249141,1.054505,-0.07145659,0.119092,1.481517,1.56E-06,1.06E-06,7.19E-06,1.22187,1.937204,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01376351,0.02487179,1.039734,-0.03334683,-0.07526781,1.431975,1.06E-06,6.25E-08,6.81E-06,1.370328,0.7581933,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01699837,0.02432247,1.039368,0.03525073,-0.0295361,1.409109,6.25E-08,1.06E-06,7.06E-06,1.340546,0.9367056,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01638802,0.0276794,1.053772,-0.06383464,-0.04096903,1.523438,5.63E-07,5.63E-07,1.63E-05,1.50464,0.8906716,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.03512581,0.02609249,1.053101,-0.09813341,-0.002859268,1.420542,1.56E-06,1.06E-06,5.94E-06,1.419317,1.909787,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,-0.01351937,0.01364132,1.051392,-0.0371578,-0.04859098,1.409109,1.56E-06,1.56E-06,7.31E-06,0.7433442,0.7366377,0,1,1,0,0,0,0,0,0,0,0,0,0,0
