,movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
1,68,0,0,0,0,-0.1987013,-0.07116492,9.900261,0.009251449,-0.6886994,-0.1202409,1.66E-05,1.56E-06,3.82E-05,-0.4118457,1.14976,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,68,0,0,0,0,-0.214961,-0.0666855,9.887196,-0.03144757,-0.7275585,-0.07168368,1.76E-05,1.06E-06,3.82E-05,-0.3864331,1.245463,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,68,0,0,0,0,-0.201055,-0.05855037,9.899152,0.02401844,-0.672913,-0.1004938,1.61E-05,6.25E-08,3.87E-05,-0.3388825,1.163516,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,68,0,0,0,0,-0.2047959,-0.0668006,9.88606,-0.02559565,0.3196647,0.04499402,1.76E-05,1.06E-06,3.74E-05,-0.3871446,1.186721,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5,68,0,0,0,0,-0.2037582,-0.06684578,9.890798,0.05170102,0.3602924,0.02399295,1.71E-05,1.06E-06,3.22E-05,-0.3872208,1.180144,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,68,0,0,0,0,-0.2053644,-0.2052929,9.905834,0.003866149,0.3340926,0.01737866,1.76E-05,6.25E-08,3.89E-05,-1.187253,1.187412,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,68,0,0,0,0,-0.1860994,-0.06650577,9.897393,0.03124148,-0.6775824,-0.05582056,1.76E-05,1.56E-06,3.91E-05,-0.3849946,1.077174,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,68,0,0,0,0,-0.2094232,-0.07163386,9.900208,0.02368368,-0.710899,-0.1127794,1.71E-05,6.25E-08,3.74E-05,-0.4145616,1.211789,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,68,0,0,0,0,-0.1878955,-0.05450508,9.897466,-0.01625554,-0.675182,-0.1201363,1.61E-05,6.25E-08,3.77E-05,-0.3155231,1.087567,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10,68,0,0,0,0,-0.1920395,-0.06330863,9.87845,-0.01807938,0.3332856,-0.0075379,1.71E-05,5.63E-07,3.77E-05,-0.3671899,1.113681,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,68,0,0,0,0,-0.1948209,-0.06982256,9.872476,0.04041437,0.3223073,-0.01408747,1.56E-06,1.06E-06,3.98E-05,-0.4052146,1.130485,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,68,0,0,0,0,-0.2073639,-0.2039892,9.893998,0.005063815,-0.7369084,-0.05695825,1.76E-05,1.56E-06,3.77E-05,-1.181127,1.200406,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,68,0,0,0,0,-0.1861077,-0.05559833,9.879122,-0.01026209,0.3968292,0.06458407,1.66E-05,1.06E-06,3.87E-05,-0.3224493,1.079221,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,68,0,0,0,0,-0.1815233,-0.07054199,9.866616,0.005561045,-0.6831736,-0.05804834,1.61E-05,1.56E-06,3.81E-05,-0.4096328,1.053966,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,68,0,0,0,0,-0.198341,-0.06497608,9.870716,0.03110487,-0.6991264,-0.1043446,1.76E-05,1.56E-06,3.92E-05,-0.3771562,1.151115,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,68,0,0,0,0,-0.193371,-0.05566103,9.900983,0.02960574,0.3597259,0.1176661,1.71E-05,1.06E-06,3.79E-05,-0.3221002,1.118854,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,68,0,0,0,0,-0.1999731,-0.06637423,9.902655,-0.009176203,-0.6983823,-0.09684765,1.76E-05,1.56E-06,3.97E-05,-0.384029,1.156841,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18,68,0,0,0,0,-0.1796749,-0.2031923,9.903604,0.02778207,-0.6644228,-0.1189056,1.76E-05,6.25E-08,3.88E-05,-1.175373,1.039149,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19,68,0,0,0,0,-0.323651,-0.05703942,9.89503,0.005185662,-0.7250968,-0.0669901,1.61E-05,1.56E-06,3.76E-05,-0.3302751,1.873357,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,68,0,0,0,0,-0.1975021,-0.05607541,9.881433,0.04908163,-0.7202386,0.00236177,1.76E-05,1.56E-06,3.28E-05,-0.3251401,1.145011,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,68,0,0,0,0,-0.1998869,-0.2070054,9.883954,-0.0106742,0.3573414,0.1018339,1.76E-05,1.06E-06,3.86E-05,-1.199803,1.158302,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,68,0,0,0,0,-0.1892593,-0.05512416,9.902781,0.03307029,0.3309234,0.06410595,1.61E-05,1.06E-06,3.76E-05,-0.3189356,1.094871,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,68,0,0,0,0,-0.185948,-0.06348029,9.89268,0.005729458,-0.6673092,-0.07523455,1.61E-05,5.63E-07,3.62E-05,-0.367656,1.076813,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,68,0,0,0,0,-0.1845791,-0.1976445,9.889415,0.01999224,-0.7022447,-0.02725782,1.76E-05,6.25E-08,3.86E-05,-1.14493,1.069049,0,1,1,0,0,0,0,0,0,0,0,0,0,0
25,68,0,0,0,0,-0.1920206,-0.06283215,9.896207,0.0602922,-0.7057708,-0.06951509,1.66E-05,1.56E-06,3.77E-05,-0.3637726,1.111574,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,68,0,0,0,0,-0.2036916,-0.07881329,9.888943,4.69E-05,0.3308197,0.1167425,1.76E-05,1.06E-06,3.87E-05,-0.4566286,1.179969,0,1,1,0,0,0,0,0,0,0,0,0,0,0
